period,pool_id,pool_address,avg_tvl_usd,total_volume_usd,avg_apr_7d,avg_reserve_0,avg_reserve_1,avg_total_share,snapshot_count
2026-epoch-170,"ampLUNA-LUNA",terra1tsx0dmasjvd45k6tdywzv77d5t9k3lpzyuleavuah77pg3lwm9cq4469pm,66374.20,557.29,0.0000,432201161574,839690858236,497763208631,6
2026-epoch-170,"ampROAR-ROAR",terra1d8ap3zyd6tfnruuuwvs0t927lr4zwptruhulfwnxjpqzudvyn8usfgl8ze,0.00,0.00,0.0000,88520162795595328,98141644686780336,91473935768557648,6
2026-epoch-170,"ampWHALE-WHALE",terra1ntx595elf3ukxcd0wy76h24rzztcv2p6n3wmfd358ks95prv42fs9mn63n,316.01,0.00,0.0000,1166985783198,1277617746910,1147077523558,6
2026-epoch-170,"ATOM-axlUSDC",terra17l9xj8f6m8smumhn8wgpgnswr3mu60wfkcm6pjc69drxp0t398rs7335vn,14.66,0.49,0.2609,3057171,7476984,3271108,6
2026-epoch-170,"ATOM-dATOM",terra1aa8nurhuk7rwedhjyzptggypuxd3y66qp4nsx6ph240g37esdm7qyheqkd,1852.26,0.00,0.0000,788196524,619145107,693861804,6
2026-epoch-170,"ATOM-LUNA",terra1frfcj4xhvx0emkup4vel5jun9zun0797j5yhn7ant3r4jzy9mkxqzcwev6,10467.67,1688.68,3.0237,2250240750,65526464696,8154506249,6
2026-epoch-170,"ATOM-stATOM",terra1c439uc3qdlfuqncxae7l07nsdgjtu45g98yhn5ydjn2866nsw3ws0e0vte,0.00,0.00,0.0000,1215,825,1000,6
2026-epoch-170,"bLUNA-LUNA",terra1j5znhs9jeyty9u9jcagl3vefkvzwqp6u9tq9a3e5qrz4gmj2udyqp0z0xc,158731.85,22.01,0.0000,1260642110917,2008094647437,1430771918192,6
2026-epoch-170,"bLUNA-SOLID",terra1shd0wd8atmevjtryzcqzu6sxsmc4hjek43kxqsz08wxwk4nt0wvsav9004,0.00,0.00,0.0000,1483,857,1057,6
2026-epoch-170,"bWHALE-WHALE",terra1j9jmsplecj9ay2py27953p84nfmv7f6ce75ms5fleyhd0aecpc7q0hgmsa,352.16,0.00,0.0000,1562815817570,1552338068021,1499599087648,6
2026-epoch-170,"CAPA-LUNA",terra15rzp38yq2cqy2jnewc9vgzqguf3t2q0gqpv9evg8tckrtqp8x44qezhthc,340.42,21.33,0.0000,418370464978,4306592952,41560411592,6
2026-epoch-170,"DINHEIROS-LUNA",terra1k45gtuv5ctphpctjlhg4l02wqehnj92z29ctffnyxnkrdmrd34nqxema3v,0.47,0.00,0.0000,1,6000000,2449,6
2026-epoch-170,"LUNA-arbLUNA",terra1wttdzwa6pdegtrdjdw49y0pd3dd8qd3cqn89j6t9v978lx05rr8sew5jyq,923.72,19.25,0.0000,11685833338,4403276305,7142179438,6
2026-epoch-170,"LUNA-ASTRO",terra1hvntefafgn05llkqyl6uxx6j0jjwmqjtxqdrwdm43s9tkzx7xkfqkcl7h6,2.87,0.02,1.7405,18475575,950385759,130444671,6
2026-epoch-170,"LUNA-ASTRO.cw20",terra1e6t37fgjkxrzdx2s95fyq6jdra5s82720vhtmxvx4yhcvnsrey4ssmrya6,12.46,0.63,0.3848,157541578,1625541182,440091012,6
2026-epoch-170,"LUNA-axlUSDC",terra1ck8nkz35sa8mmqez3lqrm77vh36n2gd2f0dxjde4uemkwsjt22pqgk49zj,161.11,5.51,0.8640,1020702268,80430771,91975901,6
2026-epoch-170,"LUNA-EURe",terra1gny66hmejvrkra39cn7r8f7y7yg06hy3cv2xehpxraqfgjtdtpnqjtmu53,12163.55,0.00,0.0000,153879410115,10216134073,38030063789,6
2026-epoch-170,"LUNA-INJ",terra1q2gd6kc7nt8xct94chrlsqtpxfs9rve0j76lquce624y5zp85cdseshh85,758.26,17.34,0.6195,4785402545,83515927234669543424,615519759557113,6
2026-epoch-170,"LUNA-ROAR",terra126w5m24usxydxn0tjqd73k8uw06r42wttahf9t0cjyhmljlqhrdsjucx45,58.30,0.00,0.0000,737527422,225822181793587,392372158617,6
2026-epoch-170,"LUNA-SOLID",terra18fved7svlqq9q9h23cg4uw97lllmg7fa03psevczy20ayhdwrm3sznjeh5,48.99,1.58,0.0000,619729360,46506089,163695513,6
2026-epoch-170,"LUNA-stLUNA",terra12exvyhctk6ggqvzj2tlhsv769llctntf5zdj9erz6q2uq4h8hn8q5k5xpg,1.19,0.00,0.0000,15026283,8816515,11433944,6
2026-epoch-170,"LUNA-SWTH",terra1nll8xy7m2dyac3sww2tg7dqj8s0mlak68drgtzd9gh4yvnvpplhsn3sxnv,1.51,0.00,0.0000,8909232,175553171796,1240170883,6
2026-epoch-170,"LUNA-USDC",terra16a45v4k74w3yy30utfxdsekdlnks27sv48sn2suaf4wt7u6meq8scz75mx,125469.22,25001.56,4.2463,796673642531,62495349933,194376695060,6
2026-epoch-170,"LUNA-USDt",terra1wymgwg90ry2w04avy899ucmuuak7w8n3xw2msmw2jf9rfugre0ssenx4hn,7128.85,812.47,5.6341,45282427705,3549456401,11596533071,6
2026-epoch-170,"LUNA-wBNB",terra1m5juz238n27dd24d9e3kacmqax8gu7j5ee9hhfczpl52f3n7adaqudk2c9,0.00,0.00,0.0000,7605,140,1005,6
2026-epoch-170,"LUNA-WHALE",terra1zushwxgqdkg22mtv9p946yp53r6den6lv427esjaadua3ftzyjpsqgtl5z,486.96,28.09,0.7867,3264740806,2619249616860,1780727094,6
2026-epoch-170,"LUNA-wSOL",terra12u7a9wkjqrkhxjcxx70uhfx8y49j4lclfnet2smw9agpnrv9chps27n9mh,8.58,0.00,0.0000,108512893,22233822,47616649,6
2026-epoch-170,"LUNA-wstETH",terra12hs75vlyd38zjvhegsqzr8uvz2r764fdy8mhqw0qg0s2mv858yvstwmsf8,33052.57,1804.54,0.8060,209247169352,4587254005618493952,945959315918677,6
2026-epoch-170,"MOAR-ROAR",terra1j0ackj0wru4ndj74e3mhhq6rffe63y8xd0e56spqcjygv2r0cfsqxr36k6,0.00,0.00,0.0000,154861801504,408055169280,234517569467,6
2026-epoch-170,"SWTH-rSWTH",terra1nezkc3lxdxv26hqwy44jr7j9typtk39pns254ev52s9guqc2zsyqx7hvc9,0.00,0.00,0.0000,1019,982,1000,6
2026-epoch-170,"USDC-EURe",terra1t9uvn05g0hdlx2nnqug3lt3pkla4sfdj0n0xnd66kmwvyt25y65sk37cej,2118.74,3.45,0.0000,2118744939,1791617462,1928629879,6
2026-epoch-170,"USDC-SOLID",terra1wje8lj3372njwuw8t4scmyp94t5pyxxh89tsnkrfyxghqh6aunzqz4a9k3,214.45,0.79,0.0000,214451960,205201689,205345712,6
2026-epoch-170,"USDC-USDt",terra178ca7z2w6346wlkmxwpw80s2a5fmas9q28xlzegkt4c4rdam67aql5fgxj,60413.91,737.97,0.2268,29380162025,31033753935,60279229869,6
2026-epoch-170,"wBTC.axl-LUNA",terra1xhhr7x8yhv9p336t3squh5f8t2827ttrevnwrwwvqrp88nkt665qy0w07c,0.58,0.04,1.6035,330,3683664,28010,6
2026-epoch-170,"wBTC.osmo-LUNA",terra1aysexulsnuxna62m5rlnuzfcvct3df93gd4q0kkjtjcqsvv93s5sd0fyd2,33489.88,3655.59,3.0943,18828498,212245248927,1843543743,6
2026-epoch-170,"wBTC.osmo-wBTC.axl",terra13ywdferm4jtcperal9png3cvhtmar5se9nu4r49k7vujrakwy9zqa3rhwe,86902.60,144.94,0.0290,49481576,48422506,44773200,6
2026-epoch-170,"wETH-wstETH",terra12252e02w0k5yv9mryctth4j3y2sdas0xremw0jznzwal5v3xeqjst7q537,58.07,0.00,0.0000,1987324,16130837514288320,178388360888,6
2026-epoch-170,"WHALE-axlUSDC",terra1qdu4g5zxxtmwsd95v8vjslq5874nkcull7ejycm0gy2v7p5qc67qenkf8t,562.69,14.39,0.4400,3033467371179,297593277,7113230154,6
2026-epoch-170,"WHALE-ROAR",terra1g8clplgv3ah405qjrf9yhkgur9zqlqayt8ftrvkuzsm5am7pr9ls7s26rx,592.56,8.42,0.0000,6780590355049,2598638251035393,123272145524513,6
2026-epoch-170,"wKWEEN-LUNA",terra12zxl99upqdyee3u7gungesaswuv3mt2e340ll5wa4kyqnj9a6ugsl7fy8c,15.27,0.00,0.0000,20876591748,193191107,1976621377,6
2026-epoch-170,"d4e4c42a-c181-4ce7-93bf-5f26eff512b5",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"b20d77a9-f4b4-4284-9358-0edc4103a492",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"509d746e-c18f-4759-80fa-956c350ba793",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"237256c9-87cd-4dac-8da7-6a2944f61c6d",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"28e4bbf4-6d1e-4964-990b-aead26d539d4",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"3ee76c6e-b025-4a21-b7c6-a3c43d8fb27f",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"f841b56d-4533-46a4-8922-1e0139081018",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"02242b44-5952-4c72-8f54-a6eace8022d5",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"e9b15c26-362d-499e-ab7b-880635806be1",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"54ba2681-aae5-4075-aa72-a2f22dcbbc43",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"3019379c-8777-462f-b9c8-16a0107e2c7e",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"e3f407f0-0fd4-4ddd-a43b-2f1fb18c71e4",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"245826f7-fefa-49b9-b050-04b6e15a6acb",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"ef547de3-55fb-48d0-8b46-461d3891757c",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"1ef0056c-3211-4556-87cc-c7ed1c2cf934",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"506b459d-b5da-49cc-8f1c-a062bc95ed54",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"25a0f959-0368-4960-a829-7f1cbc1ee6d3",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"dc4905ab-afa5-4a3f-ae18-d108e40ef36a",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"1cc42332-368c-45f7-a284-40597546e05e",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"58ad41c4-13a8-4716-85c6-8bb738506091",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"4af8a4d8-1d3f-4fc6-882e-758b0a2b2609",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"91d218e3-00d1-4e3b-b7dd-62c38d18a0eb",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"4404775f-5c83-4c43-99fa-9953d385250c",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"0f09180b-709c-47dd-8da8-db69ec8f38d0",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"8d2a5240-0b56-4be6-a9b3-b29a8d0f4194",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"82951d14-6094-4e20-81f4-70fd88b97b0c",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"bb3aee9b-88e5-4c39-8021-6bec91c631f8",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"4777c09c-e670-4566-acac-8fff75372d4b",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"5598e77a-0e6d-41d0-9b24-27d9c5a03237",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"2d825b97-7cc3-4c24-896a-956b0f20a814",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"1f1b6b13-421b-4634-acd6-9399974713e9",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"b21e9cb6-4fc4-4fab-a25b-42115b2f3cca",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"41683225-f321-46e6-952c-81d14f13620e",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"f13b7ea9-4edc-4f9f-a0b0-a45678af683f",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"1b7f2a89-9206-4c1b-8b66-0ed2f2ea5400",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"fd902af6-9659-47c6-977b-183c950bd838",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"735eefba-4309-49d0-8bc9-9e0f65326e18",,0.00,0.00,0.0000,0,0,0,1
2026-epoch-170,"5b5aad76-92a5-4274-ae9b-22fcd2f4ab24",,0.00,0.00,0.0000,0,0,0,1
